Time_Index,BuyPriceDelta_1,SellPriceDelta_1
195,21.7,18.9
196,17.9,16.4
197,26.8,13.8
198,28.6,25.3
199,26.7,13.9
200,22.5,14.7
201,19.8,25.3
202,24,13
203,28.7,22.8
204,24.7,11.1
205,23.1,14.7
206,24.7,27.9
207,10.3,17.7
208,25.5,17.4
209,24.7,25.9
210,13.5,28.6
211,22.6,19
212,25.7,28.9
213,26.8,13.1
214,17.6,22.7
215,23.9,22
216,25.6,25.4
217,19.3,20.6
218,12.1,10.8
219,16.4,21.9
220,18.6,14.1
221,13.6,29.1
222,14.7,20.7
223,18.1,27
224,29.5,28.3
225,22.1,15.3
226,21.8,23.8
227,21.2,22.3
228,16.7,26
229,20.9,16.9
230,16.8,12.9
231,23.3,20.7
232,20.3,21.6
233,21.6,14.1
234,16.4,28.5
235,25.5,28.6
236,13.8,16.6
237,20.9,21.2
238,17.2,17.5
239,18.3,23.1
240,14.8,15.2
241,24.8,28
242,24.4,29.3
243,24.7,16.9
244,12.1,22.4
245,13.4,15.3
246,14.5,13.3
247,19.3,16.4
248,25.2,27
249,19.3,13.1
250,21.6,12
251,25.6,18.4
252,21.4,11.3
253,14.6,11.2
254,25,19
255,22.5,15.9
256,29.5,21.4
257,14.1,29.1
258,17.7,27.2
259,16.4,25.9
260,16.6,25.3
261,18.8,18.1
262,12,23.4
263,24.9,22.9
264,20.5,23.7
265,23,29.7
266,16.5,28.3
267,29.1,10.5
268,22.2,18.1
269,15,21.4
270,23.3,25.2
271,11.8,11.6
272,24.6,25.2
273,24.6,19.9
274,22,24.6
275,15.4,19.6
276,26,25.5
277,24.3,28.6
278,23.4,12.1
279,16.6,21.3
280,29,16.6
281,14.2,14.3
282,24.5,21.4
283,22.2,25.4
284,17.7,17.9
285,10.5,18
286,15.8,20.8
287,18.9,21.1
288,14.8,27.6
289,14.2,13.2
290,16,25.6
291,23.9,15.4
292,20.1,20.9
293,29.6,22.2
294,23.6,24.7
295,18.2,25.9
296,28.9,24.4
297,22.3,26.6
298,18.8,21.6
299,11.4,29.9
300,18.2,25.8
301,26.6,14.3
302,14.6,20.9
303,14.7,30
304,27.6,15.7
305,17,15.6
306,27.6,19.8
307,23.9,29.9
308,16.5,21.2
309,11,25.4
310,11.4,28.7
311,22.6,19.3
312,18.7,18.6
313,27,11.1
314,13.1,15.1
315,28.9,18.7
316,16.6,28.6
317,20.6,28.3
318,29.3,22.6
319,18.3,19.3
320,26.8,10.2
321,27.4,20.1
322,19,10.4
323,22.2,23.1
324,18.8,20.2
325,15.2,26.4
326,14.9,21.4
327,27.6,28
328,20.2,12.9
329,18.3,25.9
330,20.8,16.1
331,12,22.7
332,14.6,10
333,28.8,14
334,29.9,23.4
335,10.9,28.7
336,23.6,16.7
337,25.2,19.1
338,29.3,27.4
339,15.9,15
340,29.2,12.2
341,21.6,20.5
342,29.7,24.9
343,17.3,16.5
344,29.6,24.1
345,23.3,11.4
346,10,29
347,23.3,23.9
348,15.6,16.1
349,27.3,24.2
350,12.8,17.9
351,26.6,29.1
352,23.3,15.1
353,29.6,17.1
354,24,11
355,24.3,22.1
356,20.6,11.7
357,15.7,12.9
358,22.8,15.2
359,11.5,24.4
360,12.4,26.8
361,22.3,22.6
362,23,28.2
363,27.8,21.9
364,20.3,13.5
365,15.8,22.4
366,29.5,21.5
367,24.7,14
368,21.8,27
369,28.7,26.5
370,24.9,26.5
371,10.8,22.8
372,21.1,23.9
373,13.5,22.7
374,11.1,13.8
375,16.6,13.7
376,15.1,29
377,17.3,16.4
378,13.1,24.6
379,15.9,22.3
380,21.1,13.3
381,20.8,25.8
382,29.3,22.9
383,17.2,11.3
384,28.3,16.4
385,23.2,14.5
386,12.2,16.9
387,27.6,26.4
388,22.8,29.6
389,20.1,12.3
390,25.4,22.8
391,23.5,10.5
392,20.5,29.5
393,27.4,29.7
394,24.4,18.4
395,27.5,27.1
396,12.4,22.3
397,10.4,15.4
398,21.9,12.6
399,11.1,12.1
400,14.8,27.8
401,22.4,28.4
402,28.4,27.7
403,21.5,26.4
404,19.6,27.7
405,23.9,10.4
406,24.3,16.6
407,27.3,24.5
408,19.2,22.8
409,19.7,11.9
410,21.4,23.2
411,17.5,22.9
412,18.7,25.1
413,24.8,27.8
414,21.1,21.9
415,13.9,25.9
416,23,28.6
417,14.2,20
418,18,13.1
419,22.2,22.3
420,18.8,19.9
421,19.1,22.2
422,22.5,21.2
423,19,20.7
424,21.2,22.9
425,26.1,14.7
426,12.8,19.2
427,26.3,15.5
428,21.9,29.6
429,18.8,18
430,21.1,15.5
431,26.1,29.7
432,28.3,20.2
433,25.6,27
434,21.7,15.1
435,24.2,26.8
436,13,10.2
437,19.3,11.9
438,12.4,21.5
439,14.6,19.5
440,25.7,24.1
441,10.8,24
442,18.6,17.9
443,13.9,16.1
444,13.3,18
445,15.6,26.6
446,16.4,29.7
447,26.8,29.4
448,21.7,11.2
449,10,21.6
450,29.9,14.7
451,21.1,24.7
452,19.3,13.4
453,12,19.5
454,18.6,18.8
455,15,28.1
456,14.3,11.4
457,28.7,29.3
458,27.7,14.5
459,28.1,13.9
460,14.9,21.8
461,10.7,12.7
462,23.3,11.7
463,27.6,15.2
464,14.1,12.8
465,27.4,19.6
466,16.9,21.2
467,27.9,29.5
468,14.7,28.7
469,19.4,19.3
470,25.3,24.3
471,28.7,10.9
472,28.7,22.1
473,17.7,13.1
474,26.4,26.5
475,27.5,10.3
476,23.1,10.9
477,26.6,13.8
478,28.4,22.6
479,13.6,16.6
480,12.8,25.5
481,11.3,12.5
482,14.7,22
483,27.2,23.8
484,19.2,28
485,21.2,22
486,13.2,25.3
487,23.1,16.2
488,23.8,21.6
489,12.6,26.9
490,27.9,19.3
491,14,23
492,19.2,29.1
493,12.3,17.4
494,10,15.6
495,19.8,24.7
496,19.9,23.2
497,22.3,10.4
498,25.3,27.8
499,20.4,27.1
500,23.4,23.8
501,21.9,27.3
502,27,23.1
503,16.8,24.1
504,23.3,14.7
505,19.4,11.5
506,27.2,19.7
507,20.6,11.2
508,17,12.6
509,20.9,19.8
510,29.5,29.9
511,17.2,28.7
512,30,19.8
513,12.6,28.3
514,23.7,13.7
515,14.4,29.5
516,28.8,21.3
517,27.8,15.8
518,23.4,27.8
519,13.2,19.1
520,11.1,14.3
521,27.1,11.1
522,22.9,23.5
523,15.3,14.7
524,11,28.3
525,22.8,25.9
526,13,25.6
527,27.4,19.2
528,18.9,17.6
529,13.7,24
530,13.3,14.7
531,23.4,24.1
532,28.4,23.1
533,21,23.4
534,28.3,26.7
535,11.4,28.4
536,27.6,13
537,25.9,21.8
538,21,18.9
539,21.9,15.4
540,24.3,16.4
541,29.3,11.9
542,18.7,27.5
543,26.8,19
544,10.5,25.4
545,21.2,29.7
546,16.3,22.2
547,27.6,30
548,23.7,13.4
549,16.5,18.9
550,17.3,25.2
551,11.8,24.2
552,25.2,26
553,23.4,10.8
554,21.5,29
555,15.9,10.1
556,22.9,22.1
557,10.5,18.2
558,18.9,10.2
559,17.7,20.8
560,13.2,28.7
561,25.9,16.7
562,24.5,13
563,16.7,24
564,16.9,23.5
565,11.7,24.2
566,26.5,10.3
567,21.1,15.5
568,13.3,29.5
569,14,15.8
570,23.8,29.2
571,21.5,12.6
572,20.2,12.6
573,10.5,15.2
574,11.7,25.7
575,19.4,13.5
576,16,21.3
577,14.1,16.8
578,14.5,22.8
579,25.7,15.7
580,12.7,11.4
581,24.4,20.5
582,23.1,27.2
583,22.6,29.6
584,15.4,15.9
585,28.8,16.8
586,29.2,16.2
587,29.3,23.1
588,13.9,21.2
589,10.8,13.8
590,17,22.8
591,22.7,22
592,26.1,14.4
593,12.6,23.8
594,12.2,15.3
595,18.9,11.5
596,24.4,19.9
597,17.2,25.5
598,19.6,20.3
599,26.4,11.4
600,21.5,24.4
601,14.8,18.1
602,23.5,17.9
603,11.8,17.2
604,16.2,15.7
605,10.3,14.8
606,15.3,27.2
607,17,29.5
608,29.1,25.3
609,25.1,29.8
610,14.6,20.4
611,26.5,21.8
612,13.3,12.8
613,12.9,12.1
614,24.9,25.9
615,13.5,15.5
616,27.5,14.9
617,26.8,17.6
618,24.2,25.4
619,10.4,13.4
620,22.9,11.3
621,16.4,10.9
622,15.5,21
623,18.4,25.6
624,12.5,28.2
625,18.8,20
626,10.7,10
627,15.9,28.2
628,26.3,18
629,15.6,25
630,29.5,25.1
631,11.3,21.8
632,29.1,19.6
633,21.4,12.9
634,19.8,12.6
635,10,15.4
636,10.5,25.1
637,29,21.7
638,24.8,16.8
639,18,27
640,11.4,24.8
641,14.9,27.5
642,22.4,28.3
643,27.6,17.4
644,26.4,26
645,27.1,22.1
646,21.8,10.6
647,26.6,29.4
648,27.7,20
649,24.8,29.1
650,27.4,24.3
651,11.5,23.3
652,17.7,18.6
653,24.1,12.2
654,25.5,27.1
655,25.2,26.1
656,25.7,19.2
657,20.1,15.6
658,27.2,19.9
659,19.8,21.7
660,12.3,17.4
661,25.2,11.7
662,21.8,12.1
663,24.5,15.4
664,12.2,27.8
665,12,27
666,27.6,20.9
667,21.7,11.2
668,24.4,19.6
669,10.6,10.6
670,14.9,16.1
671,21.5,25.2
672,29.8,17.4
673,18.1,18.2
674,26.2,16.6
675,30,19.8
676,10.4,20.8
677,20.4,29.2
678,19.7,27.8
679,19.6,16.9
680,13.9,12.9
681,11.1,14.9
682,28.5,11
683,27.9,11.6
684,21.3,27.3
685,23.8,29.8
686,16.8,13
687,15,14.2
688,23.4,14.4
689,14.6,26.6
690,22.9,14.5
691,29.1,15.8
692,14.4,29.5
693,29.4,25
694,14.9,27.1
695,26.5,21
696,20,18.9
697,14.1,14.9
698,24.3,13.8
699,27.2,19.7
700,26.3,29.5
701,16.8,26.7
702,27.4,10.7
703,16.2,21.4
704,25.2,16.1
705,28.6,19.2
706,15.7,22
707,23.7,13
708,17.4,10.6
709,21.6,14.6
710,16.7,10.7
711,24.5,28.8
712,19.6,26.6
713,13.8,10.9
714,21,19.1
715,25,18.4
716,26.7,27.3
717,10.9,23.3
718,17.4,16.6
719,10,11.8
720,23,14.6
721,27.8,24.8
722,13.2,21.2
723,15.3,28.9
724,25.1,25.7
725,11.9,29.4
726,18.6,23.6
727,22.1,14.9
728,15.4,25.4
729,14.1,14.8
730,22.7,29.4
731,15.4,18.8
732,25.8,20.4
733,17.1,15.7
734,29,11.8
735,22.1,23.4
736,14.4,21.4
737,13.5,11.1
738,11.6,23.3
739,19.4,27.9
740,24.3,11.2
741,21.6,27.6
742,27.5,20.1
743,24.4,19.7
744,27.2,14.8
745,29.9,27.3
746,17.8,16.4
747,17,24.4
748,16.5,17.9
749,13.1,18.4
750,14.3,20.5
751,19.4,17
752,22.7,22.6
753,18.8,30
754,20.9,21
755,20.9,22.4
756,12.9,23.1
757,20.7,23.9
758,10.4,23.2
759,28.1,10.8
760,17.6,24.4
761,26.3,10.1
762,23.3,18.1
763,17.5,13
764,27.4,12.5
765,27.1,15.5
766,12.9,19.6
767,12.6,29
768,25.3,22.3
769,16.6,11
770,11.1,11.2
771,10.9,12.9
772,12.8,24
773,21.6,23.6
774,20.4,11.3
775,17.8,18.8
776,13.8,18.5
777,28.5,13.9
778,15.9,21.5
779,21.6,10.9
780,27.8,19.4
781,27.9,10.2
782,17.7,24.1
783,27.7,27
784,18.8,17.6
785,18.9,15
786,15.3,29.1
787,14.8,25.2
788,24.9,16.8
789,24.8,13.4
790,12.5,18.2
791,23.5,15
792,15.5,16.7
793,28.6,19.5
794,27.5,20.4
795,25.6,20.3
796,13.2,20.1
797,11.7,15.5
798,28.8,21.1
799,21.5,28.6
800,16.9,24.7
801,24.6,26
802,14.9,10.4
803,10.2,12.1
804,14.9,12.9
805,25.3,22
806,15.9,15.2
807,18.8,26.9
808,28.4,10.1
809,28.6,26.3
810,11.7,20.1
811,14.7,12.6
812,20.5,21.4
813,13,10.5
814,16.4,25
815,14.7,15.3
816,18.8,26.5
817,19.9,13.2
818,19.6,27.7
819,18.3,26.5
820,12.8,13.7
821,21.8,21.6
822,10.9,25
823,17.8,25.8
824,17.6,17.8
825,28.7,16.9
826,16.9,19.2
827,16.4,11.4
828,23.2,19
829,29.5,20.2
830,16.7,23.7
831,13.9,25
832,19.3,29.9
833,18.3,28.9
834,25.1,14.3
835,18.9,28.6
836,23.1,19.5
837,30,26.1
838,17,11.1
839,15,12.7
840,28.5,11.1
841,19.7,19.7
842,23.4,13.1
843,28.9,25.5
844,24.4,20.9
845,20.6,12.3
846,20.4,13.6
847,25.2,14.5
848,22.2,13.3
849,12.9,24.8
850,20.8,14.4
851,15.9,29
852,27.7,12.1
853,25.1,25.2
854,15.1,27.2
855,25.8,27.1
856,19.5,12.7
857,24.8,23.8
858,20.6,28.2
859,16.8,14.1
860,11.3,20.1
861,12.7,18.2
862,25,25.8
863,16.6,22.8
864,27.9,14.5
865,26.5,28
866,25.8,14.4
867,10.4,13.7
868,18.7,17.1
869,29.8,29.8
870,18.1,15.4
871,25.3,25.9
872,20.6,21.7
873,18.8,23.5
874,24.3,18.6
875,27.1,20.9
876,19.2,16.8
877,17.8,26.9
878,20.3,29.9
879,22.9,15.4
880,28,21.1
881,12.7,28.8
882,20.6,27.8
883,10.4,13
884,11.2,14.8
885,27.2,19.1
886,24.6,21.5
887,14.2,11.7
888,23.1,10.7
889,28.6,24.7
890,17.3,13.8
891,23.8,10.8
892,29.1,23.4
893,26.1,25.3
894,11,27.7
895,23.8,10.8
896,17,22
897,27.1,19.9
898,30,11.1
899,23.5,13
900,17.9,13
901,25.2,29.4
902,12.8,15.6
903,10,20.6
904,28.9,28.7
905,29.8,13.2
906,27.2,10.3
907,10.4,20.2
908,10.4,11.1
909,25.7,26.8
910,21.2,22.9
911,22.8,21.4
912,29.8,16
913,21.5,29
914,29.4,14.4
915,19.2,28.4
916,18.6,29.1
917,27,22
918,17.1,17.7
919,28.2,13.5
920,17.7,28
921,19.6,27.2
922,13,11.3
923,17.2,29.8
924,16.1,12
925,16.3,12.3
926,17.5,23.1
927,26.4,12.9
928,25.9,16.5
929,25.3,29.5
930,23.9,28.1
931,15.1,10.7
932,26.8,17.7
933,16,26.4
934,13,25.9
935,11.1,19.4
936,11.9,16.9
937,19,29.3
938,11.4,19.4
939,21.3,27
940,24.5,20.6
941,24.8,21.1
942,17.9,24.6
943,20.4,10.9
944,22,10.8
945,20.1,17.5
946,13.1,26.9
947,24.2,29.7
948,29.1,25.3
949,19.9,18.8
950,24.6,15.1
951,27.6,25.9
952,22.7,17.8
953,18.8,14.6
954,21.4,26.6
955,12.4,10.4
956,21.6,13.6
957,19.8,27
958,29.5,29.9
959,19.7,19.6
960,24.5,16.9
961,16.7,18.1
962,23.1,25.2
963,19.3,10.5
964,11.9,26.3
965,14.9,13.9
966,25.7,23.4
967,21.2,21.9
968,27.3,24.9
969,12.7,28.3
970,19.7,10.8
971,17.6,21.9
972,17.3,22.6
973,18.4,26.3
974,20.8,14.4
975,17.6,15.1
976,19.6,19.9
977,29.2,25.6
978,23.8,16.8
979,10.2,23.2
980,26.3,11.9
981,25.6,16.5
982,24.2,12.1
983,16,23.1
984,17.4,18.5
985,24.6,27.9
986,26.1,17.1
987,26.3,14.2
988,19.2,19.5
989,17.1,28.9
990,14,17.7
991,12.7,25.9
992,11.3,15.4
993,22.5,19.7
994,29.4,18.4
995,16.5,28.1
996,26.1,24.9
997,17.5,23.1
998,29.1,13.9
999,16.6,21.9
1000,27.9,20
1001,21,10.9
1002,29.2,19.8
1003,24.3,17.3
1004,12.1,11
1005,15.4,20.7
1006,17.4,27.7
1007,10,10.4
1008,24.1,29.1
1009,18,26.6
1010,23,24.3
1011,16.4,23.2
1012,27.1,24.3
1013,29.1,11.1
1014,23.6,22.8
1015,14,28.7
1016,15.5,16
1017,23.4,18.7
1018,12.9,17.5
1019,27.7,16.8
1020,16.6,20.9
1021,27.1,14.9
1022,20.1,26.4
1023,18.2,13.2
1024,17.8,23.9
1025,29.7,29.6
1026,11.1,16.2
1027,26.4,19.6
1028,15.3,24.8
1029,21.1,23.1
1030,11.3,12.9
1031,10.1,27.1
1032,18.1,19.6
1033,28.7,15
1034,29.8,28.8
1035,20.7,26.9
1036,10.1,16.6
1037,23.1,18.4
1038,28.8,24.5
1039,18.8,23.2
1040,11.3,27.6
1041,21.5,25.7
1042,13.4,12.9
1043,29.7,17.7
1044,10.3,25.9
1045,14.1,25.9
1046,12.6,23.6
1047,23.8,16
1048,18.5,10
1049,18.2,26.9
1050,12.1,12.6
1051,17.3,24.1
1052,15.7,14.2
1053,10.2,24.1
1054,16.6,25.2
1055,19.9,28.9
1056,25.4,26.2
1057,21.3,13.4
1058,29.9,10.8
1059,19.4,17.1
1060,23.7,17.4
1061,13.4,18.7
1062,28.3,13.1
1063,16.9,25.7
1064,12.8,11.8
1065,29.6,23.2
1066,23.4,23.3
1067,26.6,17.3
1068,18.1,13.3
1069,26.5,22.4
1070,13.1,29.3
1071,21.7,27.8
1072,17.7,24.6
1073,23.3,13.1
1074,22.2,10.6
1075,20.1,13.5
1076,12.3,13.7
1077,19.2,22.4
1078,11.4,15.8
1079,17.5,27.8
1080,24.4,29.6
1081,22,10.1
1082,15.7,26.4
1083,22.7,18.8
1084,27.5,15.3
1085,13.3,22.4
1086,29.2,26.9
1087,26,24.1
1088,18.1,10.6
1089,27.5,15.7
1090,17.2,18.4
1091,15.4,27.7
1092,15.9,30
1093,15.9,15.7
1094,24.8,12.7
1095,20.2,28.7
1096,14.9,25.8
1097,17.1,11.8
1098,18.9,10.6
1099,11.7,14.8
1100,17.5,14.3
1101,20.1,13.5
1102,27.2,19.1
1103,25.8,20.1
1104,13.6,14.7
1105,23.2,21.8
1106,12.8,21
1107,27.5,18.8
1108,29.4,12.5
1109,14.5,21.7
1110,10.3,16
1111,25,14.5
1112,24.9,19.5
1113,18.9,25
1114,28.6,15.2
1115,26.7,28.9
1116,23.7,25.6
1117,22.7,27.9
1118,20.6,12.7
1119,24.2,26.7
1120,26.8,11.6
1121,10.1,24.1
1122,15.4,25.6
1123,11.6,17.8
1124,10.5,12.7
1125,20.7,24.8
1126,19,10.3
1127,17.5,12.1
1128,11.8,17
1129,18.2,11.1
1130,12,24.9
1131,27.8,20.1
1132,29.9,23.8
1133,23.7,30
1134,14,19.8
1135,18.5,25.5
1136,12.1,12.5
1137,25.8,13.9
1138,23.6,27.4
1139,11.1,26.5
1140,22.1,14.8
1141,28.1,23.9
1142,13.2,13.9
1143,10.5,21.3
1144,14.8,20.8
1145,29.7,15.1
1146,22,11
1147,29.9,17
1148,12,28.7
1149,28.1,10
1150,24,16.3
1151,24.7,13.5
1152,26.2,26.8
1153,28.6,23.5
1154,14.1,10
1155,15.5,29.3
1156,15.8,18.3
1157,19.3,24.6
1158,21.3,23.1
1159,21.5,12.6
1160,16.3,16.5
1161,29.5,11
1162,21.7,22.6
1163,17.1,16.8
1164,25,12.9
1165,24.3,20.4
1166,14.8,28.8
1167,17.9,27.1
1168,12.2,18.3
1169,12.7,17.8
1170,11,12.8
1171,10.7,13.2
1172,18.8,16.1
1173,10.5,11.3
1174,13.9,15.3
1175,25.6,21.9
1176,11.4,27.6
1177,22.4,18.7
1178,20.1,20.8
1179,28,17.6
1180,20.1,26.5
1181,28.4,12.7
1182,25.2,25.2
1183,13.8,28.6
1184,24.7,19.5
1185,19.8,21.6
1186,22.1,18.6
1187,16.5,14.3
1188,28.9,21
1189,20.3,28.4
1190,14.6,14.5
1191,28.6,16.9
1192,25.8,22.5
1193,14.7,17.8
1194,12.4,22
1195,15.9,27
1196,14.7,25.2
1197,10.5,19.2
1198,24.8,23.9
1199,15.8,22.7
1200,26.7,22.9
1201,13.1,17.6
1202,23.6,23.5
1203,14.7,10
1204,15.7,15.5
1205,22.8,28.4
1206,12.8,29.2
1207,11.6,19.9
1208,16.7,30
1209,19.1,15.5
1210,10.8,16.2
1211,23,10.5
1212,28.4,21.9
1213,25.9,15.6
1214,19.6,11.1
1215,12.4,24.2
1216,29.5,17.9
1217,16.4,14.3
1218,23.6,21.3
1219,24.4,17.2
1220,15.9,29.4
1221,16.1,11.4
1222,24.9,21.1
1223,24.7,19.6
1224,10.2,10.2
1225,28.8,19.4
1226,11.8,27.8
1227,10.6,29.6
1228,13.2,25.8
1229,26.9,16.3
1230,30,15.8
1231,18.5,15.2
1232,14.1,12.6
1233,15,16.3
1234,15.1,17.1
1235,27.4,23.2
1236,24.1,11
1237,19.3,20.7
1238,20.9,16.3
1239,24.9,17.8
1240,16.8,18.6
1241,26.9,12
1242,20.3,23.9
1243,12.5,10.9
1244,13.2,26.6
1245,13.6,28.1
1246,13.7,21.7
1247,19.5,20
1248,24.3,15.7
1249,18.6,26
1250,18.9,16.5
1251,21.3,12.4
1252,27.5,12.2
1253,21.1,16
1254,19.1,14.8
1255,18.1,13.2
1256,16.7,28.2
1257,25.5,14.5
1258,16.1,22.9
1259,21.6,18
1260,19.4,14.3
1261,20.8,20.3
1262,20.8,13.6
1263,14.9,27.3
1264,29.2,24.3
1265,18.9,12.9
1266,20.6,20.7
1267,18.1,10.6
1268,26.3,26.4
1269,19.6,28.5
1270,10.8,13
1271,20.3,19
1272,24.8,20.5
1273,10.5,20.7
1274,16,13.9
1275,14.1,27
1276,14,15.8
1277,28.1,23.2
1278,26.3,11.8
1279,14.5,13.6
1280,26.2,23.8
1281,24.4,15.6
1282,13,29.4
1283,29.2,11.1
1284,15.6,23.4
1285,12.2,10.3
1286,27,27.2
1287,11,13.3
1288,11.1,18.3
1289,28.7,17.3
1290,23.6,18.3
1291,23.8,27.2
1292,27.4,24.9
1293,19.8,17.5
1294,12.9,21.1
1295,12.1,15.8
1296,11.1,23.2
1297,29.4,19.7
1298,10.7,21.4
1299,20.8,29.4
1300,23.9,29.4
1301,24.7,10
1302,11.7,13.6
1303,14.3,25.4
1304,17.2,25.3
1305,16.1,17.3
1306,25.5,27.9
1307,17,14
1308,28.9,22.3
1309,12.3,24.6
1310,23.9,24.8
1311,15.2,21.7
1312,14,16
1313,24.3,16.5
1314,20.9,18.1
1315,13.8,21.4
1316,18.8,25
1317,26.2,10.9
1318,11.6,10.1
1319,13.9,23.5
1320,14.7,17.8
1321,24.6,22.2
1322,16,21.1
1323,17.4,10.5
1324,23.4,10.2
1325,26.3,10.9
1326,19.9,20.6
1327,27.8,21.8
1328,21.1,13.2
1329,20.3,21.2
1330,28.2,12.5
1331,26,24.8
1332,19.9,25.2
1333,18.8,10.1
1334,17.2,26.1
1335,11.6,21.9
1336,16.7,17.1
1337,27.7,16.9
1338,26.7,19.6
1339,24.5,23.6
1340,17,15.9
1341,18.6,14.8
1342,22.5,12.8
1343,12.2,13.8
1344,10.6,20.5
1345,13.1,23.2
1346,17.4,27.8
1347,25.3,25.9
1348,13.7,10.5
1349,23.9,14.9
1350,24.7,12.9
1351,27.1,25.9
1352,17.2,18.6
1353,10.4,21.4
1354,27.7,11
1355,21.7,23.7
1356,28.4,11.3
1357,19.3,12.6
1358,29.6,19.1
1359,20.3,27.9
1360,20.5,22.8
1361,29.5,27.9
1362,10.3,14.5
1363,11.5,27.9
1364,10.8,12
1365,24,17.1
1366,15.4,13.5
1367,21.9,14
1368,19.4,25.9
1369,26.4,13.1
1370,16.9,17.6
1371,25.9,22.5
1372,15.6,24
1373,27.7,24.2
1374,15.2,26.4
1375,18.6,18.1
1376,26.2,22.4
1377,19.1,18.7
1378,20.1,15.1
1379,18.7,23.7
1380,25.7,28.4
1381,16.5,29.4
1382,28.9,28.1
1383,16.2,20.1
1384,25.4,13.2
1385,27.8,26.8
1386,24.3,13.5
1387,16.8,15.8
1388,19.2,20.4
1389,15.9,25.5
1390,16.4,14
1391,22,10.3
1392,28.6,28.4
1393,23.8,20.7
1394,26.3,17
1395,24.4,15.2
1396,29.9,23.3
1397,12.4,10.7
1398,24.9,22.2
1399,25.3,24.1
1400,17.8,26.8
1401,18.2,20.9
1402,21.6,15.9
1403,17.4,21.8
1404,12.9,25.7
1405,14.3,22.7
