Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,cluster,Existing_Cap_MWh,fom_per_mwyr,fom_per_mwyr_std,num_units,region,technology,Cap_Size,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,LDS,cost_case,tech_detail,basis_year,Fixed_OM_Cost_per_MWhyr,capex_mw,capex_mwh,Var_OM_Cost_per_MWh_In,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Max_Cap_MW,Max_Cap_MWh,regional_cost_multiplier,interconnect_annuity,interconnect_capex_mw,plant_inv_cost_mwyr,Self_Disch,Eff_Up,Eff_Down,Existing_Charge_Cap_MW,Min_Cap_MWh,Max_Charge_Cap_MW,Max_Duration,Min_Duration,Model,LINK_STAGES
AZ_utilityscale_battery_storage_lithium_ion_moderate_0,1,1,0,0.0,0,0.0,0.0,0.0,0.0,AZ,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,26357,17613,-1.0,-1.0,1.02,9420.528,100000.0,32417.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
CA_N_utilityscale_battery_storage_lithium_ion_moderate_0,2,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_N,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,27459,18563,-1.0,-1.0,1.075,9420.528,100000.0,34165.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
CA_S_utilityscale_battery_storage_lithium_ion_moderate_0,3,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_S,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,27559,18649,-1.0,-1.0,1.08,9420.528,100000.0,34324.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
MT_WY_CO_utilityscale_battery_storage_lithium_ion_moderate_0,4,1,0,0.0,0,0.0,0.0,0.0,0.0,MT_WY_CO,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,25797,17130,-1.0,-1.0,0.992,9420.528,100000.0,31527.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
NM_utilityscale_battery_storage_lithium_ion_moderate_0,5,1,0,0.0,0,0.0,0.0,0.0,0.0,NM,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,26558,17786,-1.0,-1.0,1.03,9420.528,100000.0,32735.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
PNW_utilityscale_battery_storage_lithium_ion_moderate_0,6,1,0,0.0,0,0.0,0.0,0.0,0.0,PNW,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,26838,18027,-1.0,-1.0,1.044,9420.528,100000.0,33180.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
UT_NV_utilityscale_battery_storage_lithium_ion_moderate_0,7,1,0,0.0,0,0.0,0.0,0.0,0.0,UT_NV,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,27008,18174,-1.0,-1.0,1.053,9420.528,100000.0,33450.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,4.0,4.0,1,0
AZ_utilityscale_battery_storage_lithium_ion_moderate_0_8,1,1,0,0.0,0,0.0,0.0,0.0,0.0,AZ,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,26357,17613,-1.0,-1.0,1.02,9420.528,100000.0,32417.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
CA_N_utilityscale_battery_storage_lithium_ion_moderate_0_8,2,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_N,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,27459,18563,-1.0,-1.0,1.075,9420.528,100000.0,34165.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
CA_S_utilityscale_battery_storage_lithium_ion_moderate_0_8,3,1,0,0.0,0,0.0,0.0,0.0,0.0,CA_S,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,27559,18649,-1.0,-1.0,1.08,9420.528,100000.0,34324.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
MT_WY_CO_utilityscale_battery_storage_lithium_ion_moderate_0_8,4,1,0,0.0,0,0.0,0.0,0.0,0.0,MT_WY_CO,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,25797,17130,-1.0,-1.0,0.992,9420.528,100000.0,31527.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
NM_utilityscale_battery_storage_lithium_ion_moderate_0_8,5,1,0,0.0,0,0.0,0.0,0.0,0.0,NM,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,26558,17786,-1.0,-1.0,1.03,9420.528,100000.0,32735.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
PNW_utilityscale_battery_storage_lithium_ion_moderate_0_8,6,1,0,0.0,0,0.0,0.0,0.0,0.0,PNW,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,26838,18027,-1.0,-1.0,1.044,9420.528,100000.0,33180.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
UT_NV_utilityscale_battery_storage_lithium_ion_moderate_0_8,7,1,0,0.0,0,0.0,0.0,0.0,0.0,UT_NV,Utility-Scale Battery Storage_Lithium Ion_Moderate,1.0,8434,0.15,0,Moderate,Lithium Ion,2028.0,7273,337368.532,290955.181,0.15,27008,18174,-1.0,-1.0,1.053,9420.528,100000.0,33450.0,0.0,0.921954446,0.921954446,0.0,-1.0,-1.0,8.0,8.0,1,0
